country,iso3,wine_region_latitude
Argentina,ARG,-33.0
Armenia,ARM,40.2
Australia,AUS,-34.5
Austria,AUT,48.2
Bosnia and Herzegovina,BIH,43.3
Brazil,BRA,-29.2
Bulgaria,BGR,42.7
Canada,CAN,44.0
Chile,CHL,-34.5
China,CHN,39.0
Croatia,HRV,45.0
Cyprus,CYP,34.9
Czech Republic,CZE,49.0
Egypt,EGY,30.5
England,GBR,51.0
France,FRA,46.0
Georgia,GEO,41.9
Germany,DEU,49.8
Greece,GRC,38.5
Hungary,HUN,46.9
India,IND,18.5
Israel,ISR,32.0
Italy,ITA,43.5
Lebanon,LBN,34.0
Luxembourg,LUX,49.6
Macedonia,MKD,41.6
Mexico,MEX,26.0
Moldova,MDA,47.0
Morocco,MAR,33.5
New Zealand,NZL,-41.0
Peru,PER,-14.0
Portugal,PRT,41.1
Romania,ROU,45.0
Serbia,SRB,44.5
Slovakia,SVK,48.3
Slovenia,SVN,46.1
South Africa,ZAF,-33.9
Spain,ESP,40.0
Switzerland,CHE,46.4
Turkey,TUR,38.5
Ukraine,UKR,46.5
Uruguay,URY,-34.5
US,USA,38.5
